i,j,Real,Estimate - LASSO,Estimate - MLE,Estimate - Ada. LASSO
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.0,-0.0,0.0
1,5,0.0,0.0,-0.0,0.0
1,6,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0
1,9,0.0,0.0,-0.0,0.0
1,10,1.0,0.0,1.043734644829188,1.0294548552685938
1,11,0.0,0.0,0.0,0.0
1,12,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0
2,7,0.0,0.0,-0.6186060553930309,0.0
2,8,0.0,0.0,0.40560957320282587,0.0
2,9,0.0,0.0,0.0,0.0
2,10,1.0,0.2704528626768277,1.1859604967705628,0.9382453270789872
2,11,0.0,0.0,0.0,0.0
2,12,0.0,0.0,-0.0,0.0
3,1,0.0,0.0,-0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,4,0.0,0.0,-0.0,0.0
3,5,0.0,0.0,-0.0,0.0
3,6,0.0,0.0,0.0,0.0
3,7,0.0,0.0,-0.0,0.0
3,8,0.0,0.0,-0.0,0.0
3,9,1.0,0.802982996952062,1.03399151028515,1.0688736296129722
3,10,0.0,0.0,0.0,0.0
3,11,0.0,0.0,0.0,0.0
3,12,0.0,0.0,-0.0,0.0
4,1,0.0,0.0,-0.48387189806612363,0.0
4,2,0.0,0.0,-0.0,0.0
4,3,0.0,0.0,-0.0,0.0
4,5,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0
4,7,0.0,0.0,-0.0,0.0
4,8,1.0,0.6313662904199794,0.7784003243173152,0.7837285826526306
4,9,0.0,0.0,0.0,0.0
4,10,0.0,0.0,-0.405813843973055,0.0
4,11,0.0,0.0,0.732653461150726,0.0
4,12,0.0,0.0,0.0,0.0
5,1,1.0,0.5518588503109867,1.424078780036784,1.0519501073436197
5,2,0.0,0.0,-0.0,0.0
5,3,0.0,0.0,-0.0,0.0
5,4,0.0,0.0,-0.0,0.0
5,6,0.0,0.0,-0.0,0.0
5,7,1.0,0.3762494601032687,1.2619054328022645,0.9340626854338657
5,8,0.0,0.0,0.3558483666617227,0.0
5,9,0.0,0.0,-0.0,0.0
5,10,0.0,0.0,-0.8934914766889024,0.0
5,11,0.0,0.0,0.0,0.0
5,12,0.0,0.0,0.0,0.0
6,1,0.0,0.0,-0.0,0.0
6,2,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0
6,4,0.0,0.0,-0.0,0.0
6,5,0.0,0.0,-0.0,0.0
6,7,0.0,0.0,-0.0,0.0
6,8,0.0,0.0,-0.0,0.0
6,9,0.0,0.0,0.0,0.0
6,10,1.0,0.2701661424515604,1.5944042081663992,0.9926110565887782
6,11,0.0,0.0,-0.4678342658901272,0.0
6,12,0.0,0.0,-0.0,0.0
7,1,0.0,0.0,-0.0,0.0
7,2,0.0,0.0,-0.0,0.0
7,3,0.0,0.0,-0.0,0.0
7,4,0.0,0.0,-0.6832009978808983,0.0
7,5,0.0,0.0,0.0,0.0
7,6,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.42589034004930343,0.0
7,9,0.0,0.0,0.0,0.0
7,10,0.0,0.0,0.0,0.0
7,11,0.0,0.0,0.3917865927310261,0.0
7,12,0.0,0.0,0.0,0.0
8,1,1.0,0.4793872038037825,1.4083727300129996,0.9696040350253248
8,2,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
8,5,0.0,0.0,-0.0,0.0
8,6,0.0,0.0,-0.0,0.0
8,7,0.0,0.0,0.45719726994423204,0.0
8,9,0.0,0.0,-0.0,0.0
8,10,0.0,0.0,-0.0,0.0
8,11,0.0,0.0,-0.48224059773253203,0.0
8,12,0.0,0.0,-0.0,0.0
9,1,0.0,0.0,0.0,0.0
9,2,0.0,0.0,0.0,0.0
9,3,0.0,0.0,-0.0,0.0
9,4,0.0,0.0,-0.0,0.0
9,5,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0
9,8,0.0,0.0,0.0,0.0
9,10,0.0,0.0,-0.0,0.0
9,11,0.0,0.0,0.0,0.0
9,12,0.0,0.0,0.0,0.0
10,1,0.0,0.0,-0.0,0.0
10,2,0.0,0.0,0.0,0.0
10,3,0.0,0.0,-0.0,0.0
10,4,0.0,0.0,-0.0,0.0
10,5,0.0,0.0,-0.0,0.0
10,6,0.0,0.0,0.0,0.0
10,7,1.0,0.4183358455018987,1.4136897824929475,0.831705203391454
10,8,0.0,0.0,0.5964594364451911,0.0
10,9,0.0,0.0,-0.0,0.0
10,11,0.0,0.0,0.8124030960828567,0.0
10,12,0.0,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0
11,2,0.0,0.0,0.0,0.0
11,3,0.0,0.0,-0.0,0.0
11,4,0.0,0.0,0.0,0.0
11,5,0.0,0.0,0.0,0.0
11,6,0.0,0.0,0.0,0.0
11,7,0.0,0.0,0.0,0.0
11,8,0.0,0.0,-0.6126387292129094,0.0
11,9,0.0,0.0,-0.0,0.0
11,10,1.0,0.3564147438406117,1.5691355862160632,0.7521072912010957
11,12,0.0,0.0,-0.0,0.0
12,1,0.0,0.0,0.0,0.0
12,2,0.0,0.0,0.0,0.0
12,3,0.0,0.0,-0.0,0.0
12,4,1.0,0.6534755059452242,1.4306170389705208,0.9123000986896777
12,5,0.0,0.0,-0.0,0.0
12,6,0.0,0.0,-0.0,0.0
12,7,0.0,0.0,0.0,0.0
12,8,0.0,0.0,-0.0,0.0
12,9,0.0,0.0,-0.0,0.0
12,10,0.0,0.0,0.0,0.0
12,11,0.0,0.0,-0.0,0.0
